time,left_arm_0_joint,left_arm_1_joint,left_arm_2_joint,left_arm_3_joint,left_arm_4_joint,left_arm_5_joint,left_arm_6_joint,left_hand_synergy_joint,right_arm_0_joint,right_arm_1_joint,right_arm_2_joint,right_arm_3_joint,right_arm_4_joint,right_arm_5_joint,right_arm_6_joint,right_hand_synergy_joint,head_neck_pitch_joint,head_neck_roll_joint,head_neck_yaw_joint,head_head_tilt_joint,head_eyes_tilt_joint,head_left_eye_joint,head_right_eye_joint
0.000132,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033720,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066806,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100161,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.133563,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166813,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.200170,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.233632,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.266838,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.300134,-0.417200475931,0.522407233715,2.45406937599,0.952021420002,0.116310454905,-1.11350786686,-2.14907264709,0.0764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
