time,left_arm_0_joint,left_arm_1_joint,left_arm_2_joint,left_arm_3_joint,left_arm_4_joint,left_arm_5_joint,left_arm_6_joint,left_hand_synergy_joint,right_arm_0_joint,right_arm_1_joint,right_arm_2_joint,right_arm_3_joint,right_arm_4_joint,right_arm_5_joint,right_arm_6_joint,right_hand_synergy_joint,head_neck_pitch_joint,head_neck_roll_joint,head_neck_yaw_joint,head_head_tilt_joint,head_eyes_tilt_joint,head_left_eye_joint,head_right_eye_joint
0.000089,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033462,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066784,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100093,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.133427,-0.613686800003,0.997216403484,-1.26079273224,-0.642037332058,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166769,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.200096,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.233439,-0.613685488701,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.266760,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.300091,-0.613686800003,0.997216403484,-1.26079273224,-0.642038583755,-2.29804563522,-1.60558331013,-2.35601019859,0.0655294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
