time,left_arm_0_joint,left_arm_1_joint,left_arm_2_joint,left_arm_3_joint,left_arm_4_joint,left_arm_5_joint,left_arm_6_joint,left_hand_synergy_joint,right_arm_0_joint,right_arm_1_joint,right_arm_2_joint,right_arm_3_joint,right_arm_4_joint,right_arm_5_joint,right_arm_6_joint,right_hand_synergy_joint,head_neck_pitch_joint,head_neck_roll_joint,head_neck_yaw_joint,head_head_tilt_joint,head_eyes_tilt_joint,head_left_eye_joint,head_right_eye_joint
0.000458,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016797,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033459,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.050280,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.066775,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083443,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.100117,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.116788,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.133446,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.150143,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.166785,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.183440,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.200111,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.216777,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.233441,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.250149,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.266794,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.283448,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.300165,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.316970,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.333455,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.350309,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.366797,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.383427,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.400117,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.416786,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.433437,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.450310,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.466762,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.483422,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.500320,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.516774,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.533425,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.550270,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.566768,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.583419,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231694698,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.600108,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.616758,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.633419,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.650091,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.666759,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.683420,-1.67989122868,0.824091374874,-2.17932605743,1.13648116589,-1.13231468201,-1.09187710285,-2.2915930748,0.0182352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
